Technique ID,Tactic (v19),Score,Coverage Level,Detection Notes
T1190,initial-access,2,Single-phase detection,Exploit Public-Facing Application. [v3 UPLIFT 0->2] Fortinet CVE-2022-42475 and Cisco RV320/325 exploit indicators now detected via CommonSecurityLog CEF ingestion - Edge Query 1 + Query 2.
T1133,initial-access,2,Single-phase detection,External Remote Services. [v3 UPLIFT 0->2] VPN authentication from anomalous geography detected via Edge Query 3 against Fortinet/Ivanti/Cisco SSL-VPN logs.
T1078,initial-access,2,Single-phase detection,Valid Accounts. [v3 UPLIFT 1->2] Cross-referenced with edge VPN auth telemetry for impossible-travel and credential-stuffing patterns.
T1078.002,initial-access,2,Single-phase detection,Domain Accounts. [v3 UPLIFT] Now correlated across edge VPN auth + endpoint capstone.
T1584,resource-development,1,Hunting only / partial,Compromise Infrastructure. [v3 NEW] Partial via edge device config-drift detection (Query 6) catches compromised perimeter devices being repurposed.
T1584.005,resource-development,1,Hunting only / partial,"Botnet. [v3 NEW] KV-botnet activity (Cisco/NETGEAR EOL SOHO routers, port 8443) partially detectable via NetFlow + EOL device watchlist (Edge Queries 4 + 7)."
T1059,execution,2,Single-phase detection,Command and Scripting Interpreter - Discovery query catches cmd/wmic invocations.
T1059.001,execution,3,High-fidelity / capstone,PowerShell - covered by v2 Encoded PowerShell detection with multi-layer scoring.
T1059.003,execution,2,Single-phase detection,Windows Command Shell - covered by Discovery and capstone queries.
T1047,execution,3,High-fidelity / capstone,WMI - Impacket wmiexec pattern (cmd spawned by wmiprvse + ADMIN$ output) is high-fidelity.
T1053.005,execution,2,Single-phase detection,Scheduled Task. [v4 UPLIFT 1->2] TaskCache Tree/Tasks registry registration + Microsoft-folder masquerade detection (v4 Query 8).
T1547.001,persistence,2,Single-phase detection,Registry Run Keys / Startup Folder. [v4 UPLIFT 0->2] Run/RunOnce + Winlogon Userinit/Shell hijack detection via DeviceRegistryEvents (v4 Query 7).
T1546.003,persistence,0,Blind spot,WMI Event Subscription. BLIND SPOT - needs persistence query set.
T1098,persistence,1,Hunting only / partial,Account Manipulation. [v3 UPLIFT 0->1] Partial coverage via edge config-change detection (Query 6) - catches privilege escalation on the edge device itself.
T1078.003,persistence,1,Hunting only / partial,Local Accounts - account anomaly hunting.
